name,seifert_matrix,det_seifert_matrix,laplacian,det_laplacian,alexander_polynomial
Name,Seifert Matrix,Error,Laplacian,Laplacian Determinant,Alexander
12a_841,"[[ -1, 0, 0, -1, 1, 1], [ 0, 1, 0, 0, 0, 0], [ -1, 0, -1, -1, 1, 1], [ 0, -1, 0, -1, 1, 1], [ 0, 1, 0, 0, -2, -1], [ 0, 1, 0, 0, 0, -2]]",-4,,,4-16*t+28*t^2-33*t^3+28*t^4-16*t^5+4*t^6
12a_842,"[[ -1, -1, 0, -1, 0, 0], [ 0, -1, 0, 0, 0, 0], [ -1, -1, -1, -1, 0, 0], [ 0, -1, 0, -1, 0, 0], [ 0, -1, 0, -1, 1, 1], [ 0, 0, 0, 0, 0, 3]]",3,,,3-11*t+20*t^2-23*t^3+20*t^4-11*t^5+3*t^6
12a_843,"[[ -1, 0, 0, -1, -1, -1], [ 0, 1, 0, 0, 0, 0], [ -1, 0, -1, -1, -1, -1], [ 0, -1, 0, -1, -1, -1], [ 0, -1, 0, 0, -1, 0], [ 0, -1, 0, 0, -1, -3]]",-3,,,3-11*t+18*t^2-21*t^3+18*t^4-11*t^5+3*t^6
12a_844,"[[ -1, -1, 0, 0, 0, -1, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, 0, -1, 0, 0], [ 0, 0, 0, -1, 0, 0, 0, 0], [ 0, -1, 0, 1, 1, -1, 0, 0], [ 0, -1, 0, 0, 0, -1, 0, 0], [ 0, -1, 0, 0, 0, -1, 1, 1], [ 0, -1, 0, 1, 0, -1, 0, 1]]",-1,,,1-8*t+24*t^2-43*t^3+51*t^4-43*t^5+24*t^6-8*t^7+t^8
12a_845,"[[ -1, -1, 0, 0, -1, 0], [ 0, -1, 0, 0, 0, 0], [ -1, -1, -1, 0, -1, 0], [ 0, 1, 0, 2, 1, 0], [ 0, -1, 0, 0, -1, 0], [ 0, 1, 0, 1, 1, 2]]",4,,,4-14*t+24*t^2-27*t^3+24*t^4-14*t^5+4*t^6
12a_846,"[[ -1, -1, 0, 0, 0, -1, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, 0, -1, 0, 0], [ 0, 0, 0, -1, 0, 0, 0, 0], [ 0, -1, 0, 1, 1, -1, 1, 0], [ 0, -1, 0, 0, 0, -1, 0, 0], [ 0, -1, 0, 0, 0, -1, 1, 0], [ 0, -1, 0, 1, 0, -1, 0, 1]]",-1,,,1-8*t+24*t^2-43*t^3+51*t^4-43*t^5+24*t^6-8*t^7+t^8
12a_847,"[[ -1, -1, 0, 0, 0, -1, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, 0, 0, -1, 0, 0], [ 0, 0, 0, -1, 0, 0, 0, 0], [ 0, -1, 0, 1, 1, -1, 0, 1], [ 0, -1, 0, 0, 0, -1, 0, 0], [ 0, -1, 0, 1, 0, -1, 1, 0], [ 0, 0, 0, -1, 0, 0, 0, -1]]",1,,,1-8*t+24*t^2-39*t^3+45*t^4-39*t^5+24*t^6-8*t^7+t^8
12a_848,"[[ 1, 0, 0, 0, 0, -1, 0, 0], [ 0, -1, 0, 0, 0, 0, 0, 0], [ 1, 0, 1, 0, 0, -1, 0, 0], [ 0, 0, 0, 1, 0, 0, 0, 0], [ 0, 0, 0, 1, 1, 0, 1, 0], [ 0, -1, 0, 0, 0, -1, 0, 0], [ 0, 0, 0, 1, 0, 0, 1, 0], [ -1, 1, -1, 1, 1, 1, 1, 2]]",2,,,2-9*t+21*t^2-31*t^3+35*t^4-31*t^5+21*t^6-9*t^7+2*t^8
12a_849,"[[ 1, 0, 0, -1, 0, 0], [ 0, -1, 0, 0, 0, 0], [ 1, 0, 1, -1, 0, 0], [ 0, -1, 0, -1, 0, 0], [ 0, 0, 0, 0, 2, 1], [ -1, 1, -1, 1, 0, 2]]",4,,,4-19*t+43*t^2-55*t^3+43*t^4-19*t^5+4*t^6
12a_850,"[[ 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [ 1, 1, 0, 1, 0, 0, 0, 0, 0, 0], [ -1, -1, -1, -1, -1, -1, -1, -1, -1, -1], [ 1, 0, 0, 1, 0, 0, 0, 0, 0, 0], [ 0, -1, 0, 0, -1, -1, -1, 0, -1, -1], [ 0, -1, 0, 0, 0, -1, -1, 0, 0, -1], [ 0, -1, 0, 0, 0, 0, -1, 0, 0, 0], [ 0, -1, 0, 0, -1, -1, -1, -1, -1, -1], [ 0, -1, 0, 0, 0, -1, -1, 0, -1, -1], [ 0, -1, 0, 0, 0, 0, -1, 0, 0, -1]]",-1,,,1-4*t+8*t^2-12*t^3+13*t^4-13*t^5+13*t^6-12*t^7+8*t^8-4*t^9+t^10
12a_851,"[[ 1, 0, 0, 0, 0, 0, 0, 0], [ 1, 1, 0, 1, 0, 0, 0, 0], [ -1, -1, -1, -1, -1, 1, -1, -1], [ 1, 0, 0, 1, 0, 0, 0, 0], [ 0, -1, 0, 0, -1, 1, -1, 0], [ 0, 1, 0, 0, 0, -2, 1, 0], [ 0, -1, 0, 0, 0, 0, -1, 0], [ 0, -1, 0, 0, -1, 1, -1, -1]]",-2,,,2-9*t+20*t^2-32*t^3+37*t^4-32*t^5+20*t^6-9*t^7+2*t^8
